id,State,Area name,Percent
0,US,United States,32.1
1000,AL,Alabama,25.5
1001,AL,Autauga County,26.6
1003,AL,Baldwin County,31.9
1005,AL,Barbour County,11.6
1007,AL,Bibb County,10.4
1009,AL,Blount County,13.1
1011,AL,Bullock County,12.1
1013,AL,Butler County,16.1
1015,AL,Calhoun County,18.5
1017,AL,Chambers County,13.3
1019,AL,Cherokee County,12.8
1021,AL,Chilton County,12.7
1023,AL,Choctaw County,11.9
1025,AL,Clarke County,12.2
1027,AL,Clay County,10.6
1029,AL,Cleburne County,15.4
1031,AL,Coffee County,22.8
1033,AL,Colbert County,18.1
1035,AL,Conecuh County,12.8
1037,AL,Coosa County,12.8
1039,AL,Covington County,15.3
1041,AL,Crenshaw County,17.4
1043,AL,Cullman County,13.9
1045,AL,Dale County,18.1
1047,AL,Dallas County,14.7
1049,AL,DeKalb County,13
1051,AL,Elmore County,25.1
1053,AL,Escambia County,12.5
1055,AL,Etowah County,17.8
1057,AL,Fayette County,12.4
1059,AL,Franklin County,14
1061,AL,Geneva County,12.5
1063,AL,Greene County,10.1
1065,AL,Hale County,14.2
1067,AL,Henry County,17.1
1069,AL,Houston County,21.7
1071,AL,Jackson County,14
1073,AL,Jefferson County,33.4
1075,AL,Lamar County,11.9
1077,AL,Lauderdale County,23.5
1079,AL,Lawrence County,12.6
1081,AL,Lee County,35.3
1083,AL,Limestone County,25.7
1085,AL,Lowndes County,14.7
1087,AL,Macon County,20.4
1089,AL,Madison County,42.8
1091,AL,Marengo County,16.1
1093,AL,Marion County,12.8
1095,AL,Marshall County,19.4
1097,AL,Mobile County,23.2
1099,AL,Monroe County,13.5
1101,AL,Montgomery County,33.4
1103,AL,Morgan County,22.4
1105,AL,Perry County,22.8
1107,AL,Pickens County,14.1
1109,AL,Pike County,23.7
1111,AL,Randolph County,16.5
1113,AL,Russell County,17.8
1115,AL,St. Clair County,16.1
1117,AL,Shelby County,42.9
1119,AL,Sumter County,21.6
1121,AL,Talladega County,15
1123,AL,Tallapoosa County,18.4
1125,AL,Tuscaloosa County,30.7
1127,AL,Walker County,11.3
1129,AL,Washington County,12.7
1131,AL,Wilcox County,12.5
1133,AL,Winston County,12.8
2000,AK,Alaska,29.6
2010,AK,Aleutian Islands,
2013,AK,Aleutians East Borough,11.5
2016,AK,Aleutians West Census Area,17
2020,AK,Anchorage Municipality,36.1
2050,AK,Bethel Census Area,11.9
2060,AK,Bristol Bay Borough,22.5
2068,AK,Denali Borough,41.1
